id,name,category,status,complexity,version,domains,tuple_notation,component_count,type_def_count,property_count,operation_count,manifestation_count,requires,uses,specializes,specialized_by,has_circular_deps
P138,Personalized Agent Configuration,pattern,stable,medium,1.1,,"$pac = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,no
P139,Learning Progress Indicator,pattern,stable,medium,1.1,,"$lpi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P140,Reset/Retrain Controls,pattern,stable,medium,1.1,,"$rc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P141,Workflow Template Gallery,pattern,stable,medium,1.1,,"$wtg = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,F2.2,,,no
P142,Automation Builder,pattern,stable,medium,1.1,,"$ab = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P14,,,no
P143,Scheduled Agent,pattern,stable,medium,1.1,,"$sa = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,no
P144,Trigger-Action,pattern,stable,medium,1.1,,"$tri = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P145,Workflow Monitoring Dashboard,pattern,stable,medium,1.1,,"$wmd = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,F2.2,,,no
P146,Token Budget Indicator,pattern,stable,medium,1.1,,"$tbi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P147,Cost Estimation Preview,pattern,stable,medium,1.1,,"$cep = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P148,Resource Limit Controls,pattern,stable,medium,1.1,,"$rlc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P149,Usage Analytics Dashboard,pattern,stable,medium,1.1,,"$uad = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P150,Rate Limit Warning,pattern,stable,medium,1.1,,"$rlw = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P152,Audit Trail Viewer,pattern,stable,medium,1.1,,"$atv = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P153,Data Access Transparency,pattern,stable,medium,1.1,,"$dat = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P154,Secure Credential Management,pattern,stable,medium,1.1,,"$scm = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P155,Trust Score Indicator,pattern,stable,medium,1.1,,"$tsi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
