id,name,pattern_type,category_name,category,status,complexity,version,tuple_notation,component_count,type_def_count,property_count,operation_count,manifestation_count,dependency_count,has_circular_deps
P132,AI Cursor Sharing,pattern,Collaborative Presence,pattern,stable,low,1.1,"$C_{ai} = (Agent, Focus_{current}, Path, Highlight) : Agent_{activity} \to Cursor_{virtual}$",4,0,3,3,3,0,no
P133,Activity Feed,pattern,Collaborative Presence,pattern,stable,low,1.1,"$F_{activity} = (Events, Actors, Timestamps, Filter) : (Humans \cup Agents) \times Actions \to Feed$",4,0,3,3,3,0,no
P134,Collaboration Session,pattern,Collaborative Presence,pattern,stable,low,1.1,"$S_{session} = (Participants, Workspace, Coordination, State_{shared}) : Collaborators \to Session$",4,0,3,3,3,0,no
P135,Conflict Resolution Interface,pattern,Collaborative Presence,pattern,stable,low,1.1,"$R_{conflict} = (Conflicts, Options, Reasoning, Choose) : Conflicts \to Resolution$",4,0,3,3,3,0,no
P136,User Preference Learning,pattern,Personalization & Learning,pattern,stable,low,1.1,"$L_{pref} = (Interactions, Patterns, Model, Adaptation) : History \to Preferences_{learned}$",4,0,3,3,3,0,no
P137,Adaptive Interface,pattern,Personalization & Learning,pattern,stable,low,1.1,"$I_{adaptive} = (UI, User_{behavior}, Learn, Adapt) : (UI, Behavior) \to UI_{personalized}$",4,0,3,3,3,0,no
P138,Personalized Agent Configuration,pattern,Personalization & Learning,pattern,stable,low,1.1,"$C_{personal} = (User, Agents, Config, Optimize) : User \to Agents_{configured}$",4,0,3,3,3,0,no
P139,Learning Progress Indicator,pattern,Personalization & Learning,pattern,stable,low,1.1,"$P_{learn} = (Model, Training_{data}, Accuracy, Progress) : Learning \to Progress_{display}$",4,0,3,3,3,0,no
P140,Reset/Retrain Controls,pattern,Personalization & Learning,pattern,stable,low,1.1,"$R_{retrain} = (Model, Reset, Retrain, Confirm) : Model \to Model_{reset} \cup Model_{retrained}$",4,0,3,3,3,0,no
P141,Workflow Template Gallery,pattern,Workflow Automation,pattern,stable,low,1.1,"$G_{templates} = (Templates, Categories, Preview, Instantiate) : Templates \to Workflow$",4,0,3,3,3,0,no
P142,Automation Builder,pattern,Workflow Automation,pattern,stable,low,1.1,"$B_{auto} = (Components, Canvas_{visual}, Connect, Execute) : Builder \to Automation$",4,0,3,3,3,0,no
P143,Scheduled Agent,pattern,Workflow Automation,pattern,stable,low,1.1,"$S_{scheduled} = (Agent, Schedule, Trigger, Execute) : (Agent, Time) \to Execution$",4,0,3,3,3,0,no
P144,Trigger-Action,pattern,Workflow Automation,pattern,stable,low,1.1,"$T_{action} = (Trigger, Condition, Action, Execute) : Event \to Action_{conditional}$",4,0,3,3,3,0,no
P145,Workflow Monitoring Dashboard,pattern,Workflow Automation,pattern,stable,low,1.1,"$M_{workflow} = (Workflows, Status, Metrics, Control) : Workflows \to Dashboard$",4,0,3,3,3,0,no
P146,Token Budget Indicator,pattern,Cost & Resource Management,pattern,stable,low,1.1,"$B_{tokens} = (Budget, Used, Remaining, Alerts) : Usage \to Budget_{status}$",4,0,3,3,3,0,no
P147,Cost Estimation Preview,pattern,Cost & Resource Management,pattern,stable,low,1.1,"$E_{cost} = (Action, Tokens_{estimated}, Cost, Preview) : Action \to Cost_{preview}$",4,0,3,3,3,0,no
P148,Resource Limit Controls,pattern,Cost & Resource Management,pattern,stable,low,1.1,"$L_{resources} = (Limits, Current, Controls, Enforcement) : Resources \to Limits_{managed}$",4,0,3,3,3,0,no
P149,Usage Analytics Dashboard,pattern,Cost & Resource Management,pattern,stable,low,1.1,"$A_{usage} = (Usage_{history}, Trends, Breakdown, Insights) : Usage \to Analytics$",4,0,3,3,3,0,no
P150,Rate Limit Warning,pattern,Cost & Resource Management,pattern,stable,low,1.1,"$W_{rate} = (Rate, Limit, Warning_{threshold}, Alert) : Usage_{rate} \to Warning$",4,0,3,3,3,0,no
P152,Audit Trail Viewer,pattern,Security & Trust,pattern,stable,low,1.1,"$V_{audit} = (Actions, Actors, Timestamps, Filter) : History \to Audit_{view}$",4,0,3,3,3,0,no
P153,Data Access Transparency,pattern,Security & Trust,pattern,stable,low,1.1,"$T_{access} = (Data, Accessor, Purpose, Disclosure) : Access \to Transparency$",4,0,3,3,3,0,no
P154,Secure Credential Management,pattern,Security & Trust,pattern,stable,low,1.1,"$M_{cred} = (Credentials, Encryption, Access_{control}, Rotation) : Secrets \to Secured$",4,0,3,3,3,0,no
P155,Trust Score Indicator,pattern,Security & Trust,pattern,stable,low,1.1,"$I_{trust} = (Agent, Behavior_{history}, Reliability, Score) : Agent \to Trust \in [0,1]$",4,0,3,3,3,0,no
